timeid,fig_dataset,fig_no,oldstartdatetime,hull_resistance
5128188,1,F03-1,2018-10-02 21:00:00,1.23
5128197,1,F03-1,2018-10-02 21:45:00,1.24
5128198,1,F03-1,2018-10-02 21:50:00,1.21
5128200,1,F03-1,2018-10-02 22:00:00,1.2
5128242,1,F03-1,2018-10-03 01:30:00,1.16
5128275,1,F03-1,2018-10-03 04:15:00,1.25
5128725,1,F03-1,2018-10-04 17:45:00,1.11
5128772,1,F03-1,2018-10-04 21:40:00,1.12
5128775,1,F03-1,2018-10-04 21:55:00,1.18
5128776,1,F03-1,2018-10-04 22:00:00,1.18
5128779,1,F03-1,2018-10-04 22:15:00,1.14
5128816,1,F03-1,2018-10-05 01:20:00,1.12
5128832,1,F03-1,2018-10-05 02:40:00,1.13
5128847,1,F03-1,2018-10-05 03:55:00,1.11
5128850,1,F03-1,2018-10-05 04:10:00,1.15
5128942,1,F03-1,2018-10-05 11:50:00,1.13
5128943,1,F03-1,2018-10-05 11:55:00,1.15
5128953,1,F03-1,2018-10-05 12:45:00,1.12
5128978,1,F03-1,2018-10-05 14:50:00,1.13
5128981,1,F03-1,2018-10-05 15:05:00,1.15
5128987,1,F03-1,2018-10-05 15:35:00,1.15
5128990,1,F03-1,2018-10-05 15:50:00,1.14
5129032,1,F03-1,2018-10-05 19:20:00,1.11
5129034,1,F03-1,2018-10-05 19:30:00,1.15
5129046,1,F03-1,2018-10-05 20:30:00,1.14
5129047,1,F03-1,2018-10-05 20:35:00,1.11
5129048,1,F03-1,2018-10-05 20:40:00,1.15
5129050,1,F03-1,2018-10-05 20:50:00,1.14
5129087,1,F03-1,2018-10-05 23:55:00,1.13
5129089,1,F03-1,2018-10-06 00:05:00,1.16
5129090,1,F03-1,2018-10-06 00:10:00,1.15
5129092,1,F03-1,2018-10-06 00:20:00,1.09
5129094,1,F03-1,2018-10-06 00:30:00,1.09
5129096,1,F03-1,2018-10-06 00:40:00,1.17
5129099,1,F03-1,2018-10-06 00:55:00,1.09
5129112,1,F03-1,2018-10-06 02:00:00,1.11
5129113,1,F03-1,2018-10-06 02:05:00,1.13
5129114,1,F03-1,2018-10-06 02:10:00,1.12
5129152,1,F03-1,2018-10-06 05:20:00,1.14
5129153,1,F03-1,2018-10-06 05:25:00,1.14
5129156,1,F03-1,2018-10-06 05:40:00,1.15
5129163,1,F03-1,2018-10-06 06:15:00,1.11
5129172,1,F03-1,2018-10-06 07:00:00,1.13
5129173,1,F03-1,2018-10-06 07:05:00,1.13
5129205,1,F03-1,2018-10-06 09:45:00,1.13
5129208,1,F03-1,2018-10-06 10:00:00,1.14
5129209,1,F03-1,2018-10-06 10:05:00,1.13
5129232,1,F03-1,2018-10-06 12:00:00,1.11
5129233,1,F03-1,2018-10-06 12:05:00,1.13
5129234,1,F03-1,2018-10-06 12:10:00,1.13
5129235,1,F03-1,2018-10-06 12:15:00,1.12
5129237,1,F03-1,2018-10-06 12:25:00,1.12
5129239,1,F03-1,2018-10-06 12:35:00,1.17
5129240,1,F03-1,2018-10-06 12:40:00,1.17
5129242,1,F03-1,2018-10-06 12:50:00,1.16
5129243,1,F03-1,2018-10-06 12:55:00,1.17
5129253,1,F03-1,2018-10-06 13:45:00,1.12
5129254,1,F03-1,2018-10-06 13:50:00,1.15
5129256,1,F03-1,2018-10-06 14:00:00,1.19
5129259,1,F03-1,2018-10-06 14:15:00,1.11
5129260,1,F03-1,2018-10-06 14:20:00,1.16
5129262,1,F03-1,2018-10-06 14:30:00,1.13
5129266,1,F03-1,2018-10-06 14:50:00,1.18
5129267,1,F03-1,2018-10-06 14:55:00,1.14
5129271,1,F03-1,2018-10-06 15:15:00,1.14
5129290,1,F03-1,2018-10-06 16:50:00,1.1
5129291,1,F03-1,2018-10-06 16:55:00,1.14
5129294,1,F03-1,2018-10-06 17:10:00,1.12
5129296,1,F03-1,2018-10-06 17:20:00,1.11
5129297,1,F03-1,2018-10-06 17:25:00,1.14
5129301,1,F03-1,2018-10-06 17:45:00,1.14
5129435,1,F03-1,2018-10-07 04:55:00,1.12
5129437,1,F03-1,2018-10-07 05:05:00,1.12
5129438,1,F03-1,2018-10-07 05:10:00,1.14
5129484,1,F03-1,2018-10-07 09:00:00,1.14
5129487,1,F03-1,2018-10-07 09:15:00,1.11
5129490,1,F03-1,2018-10-07 09:30:00,1.09
5129514,1,F03-1,2018-10-07 11:30:00,1.12
5129515,1,F03-1,2018-10-07 11:35:00,1.12
5129520,1,F03-1,2018-10-07 12:00:00,1.18
5129521,1,F03-1,2018-10-07 12:05:00,1.12
5129522,1,F03-1,2018-10-07 12:10:00,1.15
5129523,1,F03-1,2018-10-07 12:15:00,1.13
5129524,1,F03-1,2018-10-07 12:20:00,1.12
5129525,1,F03-1,2018-10-07 12:25:00,1.13
