timeid,fig_dataset,fig_no,oldstartdatetime,propeller_quotient
5097954,1,F04-1,2018-06-19 21:30:00,0.18
5098056,1,F04-1,2018-06-20 06:00:00,0.18
5098090,1,F04-1,2018-06-20 08:50:00,0.18
5098091,1,F04-1,2018-06-20 08:55:00,0.18
5098143,1,F04-1,2018-06-20 13:15:00,0.17
5098145,1,F04-1,2018-06-20 13:25:00,0.17
5098149,1,F04-1,2018-06-20 13:45:00,0.17
5098196,1,F04-1,2018-06-20 17:40:00,0.17
5098197,1,F04-1,2018-06-20 17:45:00,0.17
5098198,1,F04-1,2018-06-20 17:50:00,0.17
5098200,1,F04-1,2018-06-20 18:00:00,0.17
5098202,1,F04-1,2018-06-20 18:10:00,0.18
5098203,1,F04-1,2018-06-20 18:15:00,0.17
5098205,1,F04-1,2018-06-20 18:25:00,0.17
5098215,1,F04-1,2018-06-20 19:15:00,0.17
5098216,1,F04-1,2018-06-20 19:20:00,0.17
5098217,1,F04-1,2018-06-20 19:25:00,0.17
5098218,1,F04-1,2018-06-20 19:30:00,0.18
5098219,1,F04-1,2018-06-20 19:35:00,0.18
5098231,1,F04-1,2018-06-20 20:35:00,0.17
5098242,1,F04-1,2018-06-20 21:30:00,0.17
5098243,1,F04-1,2018-06-20 21:35:00,0.16
5098286,1,F04-1,2018-06-21 01:10:00,0.17
5098294,1,F04-1,2018-06-21 01:50:00,0.17
5098303,1,F04-1,2018-06-21 02:35:00,0.18
5098304,1,F04-1,2018-06-21 02:40:00,0.18
5098317,1,F04-1,2018-06-21 03:45:00,0.18
5098319,1,F04-1,2018-06-21 03:55:00,0.19
5098321,1,F04-1,2018-06-21 04:05:00,0.17
5098323,1,F04-1,2018-06-21 04:15:00,0.17
5098324,1,F04-1,2018-06-21 04:20:00,0.17
5098325,1,F04-1,2018-06-21 04:25:00,0.17
5098326,1,F04-1,2018-06-21 04:30:00,0.18
5098327,1,F04-1,2018-06-21 04:35:00,0.18
5098328,1,F04-1,2018-06-21 04:40:00,0.18
5098329,1,F04-1,2018-06-21 04:45:00,0.17
5098330,1,F04-1,2018-06-21 04:50:00,0.17
5098331,1,F04-1,2018-06-21 04:55:00,0.17
5098366,1,F04-1,2018-06-21 07:50:00,0.17
5098938,1,F04-1,2018-06-23 07:30:00,0.17
5102334,1,F04-1,2018-07-05 02:30:00,0.18
5102335,1,F04-1,2018-07-05 02:35:00,0.18
5102348,1,F04-1,2018-07-05 03:40:00,0.17
5102376,1,F04-1,2018-07-05 06:00:00,0.19
5102381,1,F04-1,2018-07-05 06:25:00,0.18
5102397,1,F04-1,2018-07-05 07:45:00,0.19
5102401,1,F04-1,2018-07-05 08:05:00,0.18
5102695,1,F04-1,2018-07-06 08:35:00,0.18
5102705,1,F04-1,2018-07-06 09:25:00,0.18
5102745,1,F04-1,2018-07-06 12:45:00,0.19
5102746,1,F04-1,2018-07-06 12:50:00,0.19
5102747,1,F04-1,2018-07-06 12:55:00,0.18
5102749,1,F04-1,2018-07-06 13:05:00,0.17
5102750,1,F04-1,2018-07-06 13:10:00,0.17
5102751,1,F04-1,2018-07-06 13:15:00,0.18
5102752,1,F04-1,2018-07-06 13:20:00,0.18
5102756,1,F04-1,2018-07-06 13:40:00,0.17
5102757,1,F04-1,2018-07-06 13:45:00,0.18
5102761,1,F04-1,2018-07-06 14:05:00,0.17
5102762,1,F04-1,2018-07-06 14:10:00,0.17
5102766,1,F04-1,2018-07-06 14:30:00,0.18
5102767,1,F04-1,2018-07-06 14:35:00,0.18
5102768,1,F04-1,2018-07-06 14:40:00,0.18
5102769,1,F04-1,2018-07-06 14:45:00,0.17
5102774,1,F04-1,2018-07-06 15:10:00,0.18
5102775,1,F04-1,2018-07-06 15:15:00,0.18
5102776,1,F04-1,2018-07-06 15:20:00,0.18
5102781,1,F04-1,2018-07-06 15:45:00,0.17
5102782,1,F04-1,2018-07-06 15:50:00,0.17
5102783,1,F04-1,2018-07-06 15:55:00,0.18
5102837,1,F04-1,2018-07-06 20:25:00,0.18
5102839,1,F04-1,2018-07-06 20:35:00,0.18
5102866,1,F04-1,2018-07-06 22:50:00,0.19
5102868,1,F04-1,2018-07-06 23:00:00,0.17
5102870,1,F04-1,2018-07-06 23:10:00,0.17
5103036,1,F04-1,2018-07-07 13:00:00,0.18
5103037,1,F04-1,2018-07-07 13:05:00,0.18
5103055,1,F04-1,2018-07-07 14:35:00,0.18
5103056,1,F04-1,2018-07-07 14:40:00,0.19
5103057,1,F04-1,2018-07-07 14:45:00,0.18
5103058,1,F04-1,2018-07-07 14:50:00,0.17
5103060,1,F04-1,2018-07-07 15:00:00,0.19
5103061,1,F04-1,2018-07-07 15:05:00,0.18
5103062,1,F04-1,2018-07-07 15:10:00,0.18
5103063,1,F04-1,2018-07-07 15:15:00,0.18
5103064,1,F04-1,2018-07-07 15:20:00,0.19
5103074,1,F04-1,2018-07-07 16:10:00,0.18
5103076,1,F04-1,2018-07-07 16:20:00,0.18
5103077,1,F04-1,2018-07-07 16:25:00,0.18
5103078,1,F04-1,2018-07-07 16:30:00,0.18
5103091,1,F04-1,2018-07-07 17:35:00,0.18
