,timeid,fig_dataset,fig_no,rpm,thrust
0,5098439,1,F04-2,76.0,831.5
1,5098441,1,F04-2,76.0,880.4
2,5098456,1,F04-2,76.0,852.2
3,5098464,1,F04-2,76.0,885.4
4,5098846,1,F04-2,76.1,818.1
5,5098852,1,F04-2,76.1,761.3
6,5098853,1,F04-2,75.8,856.1
7,5098854,1,F04-2,76.0,815.0
8,5098855,1,F04-2,76.1,805.1
9,5098856,1,F04-2,75.9,806.7
10,5098858,1,F04-2,76.0,834.7
11,5098862,1,F04-2,76.0,825.3
12,5098863,1,F04-2,76.1,827.6
13,5098864,1,F04-2,75.9,827.1
14,5098865,1,F04-2,76.2,808.6
15,5098866,1,F04-2,76.1,791.9
16,5098875,1,F04-2,75.8,823.8
17,5098883,1,F04-2,76.0,804.5
18,5098884,1,F04-2,75.9,845.4
19,5098885,1,F04-2,76.0,832.6
20,5098886,1,F04-2,75.9,825.1
21,5098887,1,F04-2,76.0,810.0
22,5098888,1,F04-2,76.0,822.7
23,5098889,1,F04-2,76.1,839.1
24,5098890,1,F04-2,76.0,840.1
25,5098891,1,F04-2,76.1,818.4
26,5098892,1,F04-2,75.9,798.1
27,5098972,1,F04-2,93.4,1277.2
28,5098975,1,F04-2,92.7,1251.6
29,5098976,1,F04-2,92.9,1310.6
30,5098977,1,F04-2,92.9,1346.5
31,5098978,1,F04-2,92.9,1334.4
32,5098979,1,F04-2,93.2,1335.6
33,5098980,1,F04-2,93.1,1353.3
34,5098981,1,F04-2,92.9,1387.8
35,5098982,1,F04-2,91.1,1287.4
36,5098983,1,F04-2,87.3,1138.4
37,5098984,1,F04-2,82.0,1014.2
38,5098985,1,F04-2,78.6,907.0
39,5098986,1,F04-2,76.1,813.4
40,5099005,1,F04-2,75.8,856.9
41,5099007,1,F04-2,75.9,828.0
42,5099008,1,F04-2,76.0,824.2
43,5099021,1,F04-2,76.0,847.3
44,5099045,1,F04-2,75.9,847.7
45,5099074,1,F04-2,76.0,822.0
46,5099075,1,F04-2,75.8,847.6
47,5099076,1,F04-2,75.9,843.4
48,5099077,1,F04-2,75.9,836.1
49,5099078,1,F04-2,75.9,821.6
50,5099079,1,F04-2,75.9,837.6
51,5099080,1,F04-2,76.0,851.6
52,5099081,1,F04-2,76.0,827.2
53,5099082,1,F04-2,76.0,827.8
54,5099083,1,F04-2,76.0,814.4
55,5099084,1,F04-2,75.9,832.1
56,5099085,1,F04-2,76.0,830.9
