voyage_route,waveh,bf,tw_head_beam_tail,tw_direction_index,tc_head_beam_tail,tc_direction_index,twspeed,tcspeed,slip,stw,sog,poweravgkw,me_foc_hfo,rpm
1.0,0.3192,2,Head,SE,Head,NNE,3.0825,0.05,0.0,0.05,0.0,0.0,18.8,0.0
1.0,0.6379,2,Head,SSE,Head,NNE,4.448,0.04,0.0,0.04,0.0,0.0,20.9,0.0
1.0,1.2677,3,Head,SSE,Head,NNE,8.1418,0.04,0.0,0.04,0.0,0.0,20.3,0.0
1.0,0.2116,1,Head,SSE,Head,NNE,2.1155,0.04,0.0,0.04,0.0,0.0,18.0,0.0
1.0,0.2683,1,Beam,SE,Head,NNE,2.6831,0.09,0.0,0.09,0.0,0.0,18.2,0.0
1.0,0.4155,2,Beam,SE,Beam,WNW,3.4949,0.1053,0.0,0.03,0.1,0.0,19.8,0.0
1.0,0.7337,2,Beam,SE,Beam,WNW,4.8589,0.1016,0.0,0.01,0.1,0.0,20.9,0.0
1.0,0.3695,2,Beam,SE,Head,NE,3.298,0.13,0.0,0.13,0.0,0.0,20.6,0.0
1.0,0.642,2,Beam,SE,Head,NE,4.4659,0.05,0.0,0.05,0.0,0.0,17.8,0.0
1.0,0.8655,2,Beam,SE,Head,NE,5.4235,0.23,0.0,0.23,0.0,0.0,16.9,0.0
1.0,0.2712,1,Beam,SE,Head,NNW,2.7121,0.1219,0.0,0.11,0.1,0.0,20.6,0.0
1.0,0.174,1,Beam,SE,Head,N,1.7402,0.1547,0.0,0.15,0.1,0.0,20.6,0.0
1.0,0.1563,1,Beam,ESE,Head,N,1.5632,0.4791,0.0,0.39,0.2,0.0,18.3,0.0
1.0,0.2127,1,Beam,ESE,Head,N,2.1266,0.2685,0.0,0.21,0.1,0.0,18.6,0.0
1.0,0.3246,2,Beam,ESE,Head,NNW,3.1056,0.1553,0.0,0.08,0.1,0.0,18.2,0.0
1.0,0.2521,1,Beam,ESE,Head,NNW,2.5206,0.144,0.0,0.07,0.1,0.0,20.4,0.0
1.0,0.1942,1,Beam,ESE,Head,NNE,1.9419,0.02,0.0,0.02,0.0,0.0,231.6,0.0
1.0,0.2134,1,Beam,ESE,Head,NNE,2.1341,0.08,0.0,0.08,0.0,0.0,150.9,0.0
1.0,0.116,1,Beam,ESE,Head,NNW,1.1604,0.1568,0.0,0.09,0.1,0.0,16.3,0.0
1.0,0.012,0,Tail,NNE,Head,NNW,0.12,0.1808,0.0,0.12,0.1,0.0,18.5,0.0
1.0,0.1164,1,Beam,ESE,Head,NNW,1.1635,0.1528,0.0,0.09,0.1,0.0,20.7,0.0
1.0,0.007,0,Tail,NNE,Head,NNE,0.07,0.07,0.0,0.07,0.0,0.0,21.3,0.0
1.0,0.009,0,Tail,NNE,Head,NNW,0.09,0.1545,0.0,0.09,0.1,0.0,18.6,0.0
1.0,0.2133,1,Beam,ESE,Head,NNE,2.1332,0.12,0.0,0.12,0.0,0.0,16.8,0.0
1.0,0.0967,0,Beam,ESE,Head,NNE,0.9666,0.11,0.0,0.11,0.0,0.0,18.9,0.0
1.0,0.009,0,Tail,NNE,Head,NNE,0.09,0.09,0.0,0.09,0.0,0.0,20.1,0.0
1.0,0.017,0,Tail,NNE,Head,NNE,0.17,0.17,0.0,0.17,0.0,0.0,20.3,0.0
1.0,0.015,0,Tail,NNE,Head,NNE,0.15,0.15,0.0,0.15,0.0,0.0,18.5,0.0
