timeid,fig_dataset,fig_no,voyage_route,new_v_datetime,sog,bf
5098243,0,F02-1,0.0,2019-08-04 02:50:00,12.0,3.0
5098244,0,F02-1,0.0,2019-08-04 02:55:00,12.1,3.0
5098244,0,F02-1,0.0,2019-08-04 02:55:00,12.1,3.0
5098245,0,F02-1,0.0,2019-08-04 03:00:00,12.2,4.0
5098245,0,F02-1,0.0,2019-08-04 03:00:00,12.2,4.0
5098246,0,F02-1,0.0,2019-08-04 03:05:00,12.1,4.0
5098246,0,F02-1,0.0,2019-08-04 03:05:00,12.1,4.0
5098247,0,F02-1,0.0,2019-08-04 03:10:00,12.3,4.0
5098247,0,F02-1,0.0,2019-08-04 03:10:00,12.3,4.0
5098248,0,F02-1,0.0,2019-08-04 03:15:00,12.4,4.0
5098248,0,F02-1,0.0,2019-08-04 03:15:00,12.4,4.0
5098249,0,F02-1,0.0,2019-08-04 03:20:00,12.5,3.0
5098249,0,F02-1,0.0,2019-08-04 03:20:00,12.5,3.0
5098250,0,F02-1,0.0,2019-08-04 03:25:00,12.1,3.0
5098250,0,F02-1,0.0,2019-08-04 03:25:00,12.1,3.0
5098251,0,F02-1,0.0,2019-08-04 03:30:00,12.3,4.0
5098251,0,F02-1,0.0,2019-08-04 03:30:00,12.3,4.0
5098252,0,F02-1,0.0,2019-08-04 03:35:00,12.3,4.0
5098252,0,F02-1,0.0,2019-08-04 03:35:00,12.3,4.0
5098253,0,F02-1,0.0,2019-08-04 03:40:00,12.1,4.0
5098253,0,F02-1,0.0,2019-08-04 03:40:00,12.1,4.0
5098254,0,F02-1,0.0,2019-08-04 03:45:00,12.3,4.0
5098254,0,F02-1,0.0,2019-08-04 03:45:00,12.3,4.0
5098255,0,F02-1,0.0,2019-08-04 03:50:00,12.2,4.0
5098255,0,F02-1,0.0,2019-08-04 03:50:00,12.2,4.0
5098256,0,F02-1,0.0,2019-08-04 03:55:00,12.2,4.0
5098256,0,F02-1,0.0,2019-08-04 03:55:00,12.2,4.0
5098257,0,F02-1,0.0,2019-08-04 04:00:00,12.3,4.0
5098257,0,F02-1,0.0,2019-08-04 04:00:00,12.3,4.0
5098258,0,F02-1,0.0,2019-08-04 04:05:00,12.3,4.0
5098258,0,F02-1,0.0,2019-08-04 04:05:00,12.3,4.0
5098259,0,F02-1,0.0,2019-08-04 04:10:00,12.4,5.0
5098259,0,F02-1,0.0,2019-08-04 04:10:00,12.4,5.0
5098260,0,F02-1,0.0,2019-08-04 04:15:00,12.3,4.0
5098260,0,F02-1,0.0,2019-08-04 04:15:00,12.3,4.0
5098261,0,F02-1,0.0,2019-08-04 04:20:00,12.5,4.0
5098261,0,F02-1,0.0,2019-08-04 04:20:00,12.5,4.0
5098262,0,F02-1,0.0,2019-08-04 04:25:00,12.4,4.0
5098262,0,F02-1,0.0,2019-08-04 04:25:00,12.4,4.0
5098263,0,F02-1,0.0,2019-08-04 04:30:00,12.3,4.0
5098263,0,F02-1,0.0,2019-08-04 04:30:00,12.3,4.0
5098264,0,F02-1,0.0,2019-08-04 04:35:00,12.3,4.0
5098264,0,F02-1,0.0,2019-08-04 04:35:00,12.3,4.0
5098265,0,F02-1,0.0,2019-08-04 04:40:00,12.3,4.0
5098265,0,F02-1,0.0,2019-08-04 04:40:00,12.3,4.0
5098266,0,F02-1,0.0,2019-08-04 04:45:00,12.4,4.0
5098266,0,F02-1,0.0,2019-08-04 04:45:00,12.4,4.0
5098267,0,F02-1,0.0,2019-08-04 04:50:00,12.4,4.0
5098267,0,F02-1,0.0,2019-08-04 04:50:00,12.4,4.0
5098268,0,F02-1,0.0,2019-08-04 04:55:00,12.3,5.0
5098268,0,F02-1,0.0,2019-08-04 04:55:00,12.3,5.0
5098269,0,F02-1,0.0,2019-08-04 05:00:00,12.3,5.0
5098269,0,F02-1,0.0,2019-08-04 05:00:00,12.3,5.0
5098270,0,F02-1,0.0,2019-08-04 05:05:00,12.1,5.0
5098270,0,F02-1,0.0,2019-08-04 05:05:00,12.1,5.0
5098271,0,F02-1,0.0,2019-08-04 05:10:00,12.2,4.0
5098271,0,F02-1,0.0,2019-08-04 05:10:00,12.2,4.0
5098272,0,F02-1,0.0,2019-08-04 05:15:00,12.4,5.0
5098272,0,F02-1,0.0,2019-08-04 05:15:00,12.4,5.0
5098273,0,F02-1,0.0,2019-08-04 05:20:00,12.3,5.0
5098273,0,F02-1,0.0,2019-08-04 05:20:00,12.3,5.0
5098274,0,F02-1,0.0,2019-08-04 05:25:00,12.3,4.0
5098274,0,F02-1,0.0,2019-08-04 05:25:00,12.3,4.0
5098275,0,F02-1,0.0,2019-08-04 05:30:00,12.3,5.0
5098275,0,F02-1,0.0,2019-08-04 05:30:00,12.3,5.0
5098276,0,F02-1,0.0,2019-08-04 05:35:00,12.2,4.0
5098276,0,F02-1,0.0,2019-08-04 05:35:00,12.2,4.0
5098277,0,F02-1,0.0,2019-08-04 05:40:00,12.2,4.0
5098277,0,F02-1,0.0,2019-08-04 05:40:00,12.2,4.0
5098278,0,F02-1,0.0,2019-08-04 05:45:00,12.3,5.0
5098278,0,F02-1,0.0,2019-08-04 05:45:00,12.3,5.0
5098279,0,F02-1,0.0,2019-08-04 05:50:00,12.2,5.0
5098279,0,F02-1,0.0,2019-08-04 05:50:00,12.2,5.0
5098280,0,F02-1,0.0,2019-08-04 05:55:00,12.2,4.0
5098280,0,F02-1,0.0,2019-08-04 05:55:00,12.2,4.0
5098281,0,F02-1,0.0,2019-08-04 06:00:00,12.3,4.0
5098281,0,F02-1,0.0,2019-08-04 06:00:00,12.3,4.0
5098282,0,F02-1,0.0,2019-08-04 06:05:00,12.4,4.0
