timeid,fig_dataset,fig_no,rpm_percentage,me_sfoc
5098243,0,F02-1,0.77,208.65
5098244,0,F02-1,0.77,208.32
5098244,0,F02-1,0.77,208.32
5098245,0,F02-1,0.77,208.3
5098245,0,F02-1,0.77,208.3
5098246,0,F02-1,0.77,208.5
5098246,0,F02-1,0.77,208.5
5098247,0,F02-1,0.77,207.54
5098247,0,F02-1,0.77,207.54
5098248,0,F02-1,0.77,208.05
5098248,0,F02-1,0.77,208.05
5098249,0,F02-1,0.77,208.53
5098249,0,F02-1,0.77,208.53
5098250,0,F02-1,0.77,208.5
5098250,0,F02-1,0.77,208.5
5098251,0,F02-1,0.77,207.9
5098251,0,F02-1,0.77,207.9
5098252,0,F02-1,0.77,209.15
5098252,0,F02-1,0.77,209.15
5098253,0,F02-1,0.77,208.27
5098253,0,F02-1,0.77,208.27
5098254,0,F02-1,0.77,209.12
5098254,0,F02-1,0.77,209.12
5098255,0,F02-1,0.77,209.16
5098255,0,F02-1,0.77,209.16
5098256,0,F02-1,0.77,207.82
5098256,0,F02-1,0.77,207.82
5098257,0,F02-1,0.77,208.24
5098257,0,F02-1,0.77,208.24
5098258,0,F02-1,0.77,208.64
5098258,0,F02-1,0.77,208.64
5098259,0,F02-1,0.77,208.59
5098259,0,F02-1,0.77,208.59
5098260,0,F02-1,0.77,208.21
5098260,0,F02-1,0.77,208.21
5098261,0,F02-1,0.77,207.76
5098261,0,F02-1,0.77,207.76
5098262,0,F02-1,0.77,273.7
5098262,0,F02-1,0.77,273.7
5098263,0,F02-1,0.77,207.92
5098263,0,F02-1,0.77,207.92
5098264,0,F02-1,0.77,208.07
5098264,0,F02-1,0.77,208.07
5098265,0,F02-1,0.77,207.85
5098265,0,F02-1,0.77,207.85
5098266,0,F02-1,0.77,207.53
5098266,0,F02-1,0.77,207.53
5098267,0,F02-1,0.77,207.39
5098267,0,F02-1,0.77,207.39
5098268,0,F02-1,0.77,207.23
5098268,0,F02-1,0.77,207.23
5098269,0,F02-1,0.77,207.51
5098269,0,F02-1,0.77,207.51
5098270,0,F02-1,0.77,207.84
5098270,0,F02-1,0.77,207.84
5098271,0,F02-1,0.77,207.71
5098271,0,F02-1,0.77,207.71
5098272,0,F02-1,0.77,207.19
5098272,0,F02-1,0.77,207.19
5098273,0,F02-1,0.77,207.8
5098273,0,F02-1,0.77,207.8
5098274,0,F02-1,0.77,207.45
5098274,0,F02-1,0.77,207.45
5098275,0,F02-1,0.77,207.32
5098275,0,F02-1,0.77,207.32
5098276,0,F02-1,0.77,208.32
5098276,0,F02-1,0.77,208.32
5098277,0,F02-1,0.77,208.53
5098277,0,F02-1,0.77,208.53
5098278,0,F02-1,0.77,208.29
5098278,0,F02-1,0.77,208.29
5098279,0,F02-1,0.77,208.54
5098279,0,F02-1,0.77,208.54
5098280,0,F02-1,0.77,209.42
5098280,0,F02-1,0.77,209.42
5098281,0,F02-1,0.77,208.73
5098281,0,F02-1,0.77,208.73
5098282,0,F02-1,0.77,209.02
5098282,0,F02-1,0.77,209.02
5098283,0,F02-1,0.77,208.18
5098283,0,F02-1,0.77,208.18
5098284,0,F02-1,0.77,209.94
5098284,0,F02-1,0.77,209.94
5098285,0,F02-1,0.77,207.28
5098285,0,F02-1,0.77,207.28
5098286,0,F02-1,0.77,207.27
5098286,0,F02-1,0.77,207.27
5098287,0,F02-1,0.77,207.63
